model,model_name,n_processes,repeat,execution_time_ms,speedup_factor,parallel_efficiency,scaling_type
legacy_hh,Legacy HH,1,0,19.062042236328125,0.7368045827496498,0.7368045827496498,strong
legacy_hh,Legacy HH,1,1,14.632225036621094,0.9598676921071498,0.9598676921071498,strong
legacy_hh,Legacy HH,1,2,14.217853546142578,0.9878425059529798,0.9878425059529798,strong
legacy_hh,Legacy HH,1,3,14.624834060668945,0.9603527819892078,0.9603527819892078,strong
legacy_hh,Legacy HH,1,4,15.929222106933594,0.8817128659522242,0.8817128659522242,strong
legacy_hh,Legacy HH,2,0,13.757586479187012,1.0208912804249308,0.5104456402124654,strong
legacy_hh,Legacy HH,2,1,13.607501983642578,1.0321512422469075,0.5160756211234537,strong
legacy_hh,Legacy HH,2,2,13.498544692993164,1.0404825405796845,0.5202412702898422,strong
legacy_hh,Legacy HH,2,3,16.5024995803833,0.8510831954808463,0.42554159774042316,strong
legacy_hh,Legacy HH,2,4,14.343023300170898,0.9792217290845925,0.48961086454229624,strong
legacy_hh,Legacy HH,3,0,16.548951466878254,0.8486942574219388,0.28289808580731296,strong
legacy_hh,Legacy HH,3,1,14.062007268269857,0.9987905573044121,0.3329301857681374,strong
legacy_hh,Legacy HH,3,2,14.113664627075195,0.9951348885923273,0.33171162953077576,strong
legacy_hh,Legacy HH,3,3,13.950347900390625,1.0067849330051954,0.33559497766839846,strong
legacy_hh,Legacy HH,3,4,13.96791140238444,1.0055189835966705,0.3351729945322235,strong
legacy_hh,Legacy HH,4,0,14.885246753692627,0.9435517132297293,0.23588792830743233,strong
legacy_hh,Legacy HH,4,1,13.670504093170166,1.0273944530919588,0.2568486132729897,strong
legacy_hh,Legacy HH,4,2,14.088749885559082,0.9968946989888734,0.24922367474721835,strong
legacy_hh,Legacy HH,4,3,13.440549373626709,1.0449721723319807,0.2612430430829952,strong
legacy_hh,Legacy HH,4,4,13.285279273986816,1.0571851585984118,0.26429628964960294,strong
legacy_hh,Legacy HH,5,0,12.763214111328125,1.100428148723773,0.2200856297447546,strong
legacy_hh,Legacy HH,5,1,13.522815704345703,1.0386150623779065,0.20772301247558128,strong
legacy_hh,Legacy HH,5,2,13.167810440063477,1.0666162108137274,0.21332324216274548,strong
legacy_hh,Legacy HH,5,3,13.201427459716797,1.063900106193156,0.21278002123863118,strong
legacy_hh,Legacy HH,5,4,12.85099983215332,1.0929110777165545,0.2185822155433109,strong
legacy_hh,Legacy HH,6,0,13.064821561177572,1.0750242558252,0.17917070930419998,strong
legacy_hh,Legacy HH,6,1,13.381322224934896,1.0495973297857177,0.17493288829761963,strong
legacy_hh,Legacy HH,6,2,12.977123260498047,1.0822891787617124,0.18038152979361874,strong
legacy_hh,Legacy HH,6,3,13.022621472676596,1.0785078953390799,0.17975131588984664,strong
legacy_hh,Legacy HH,6,4,13.106862703959147,1.0715760432930619,0.1785960072155103,strong
legacy_hh,Legacy HH,7,0,12.944868632725306,1.0849859102306723,0.15499798717581031,strong
legacy_hh,Legacy HH,7,1,13.133151190621513,1.069431081119632,0.152775868731376,strong
legacy_hh,Legacy HH,7,2,13.33543232509068,1.0532092049140551,0.15045845784486503,strong
legacy_hh,Legacy HH,7,3,13.25430188860212,1.0596559663675518,0.15137942376679311,strong
legacy_hh,Legacy HH,7,4,18.31024033682687,0.7670571121912383,0.10957958745589118,strong
legacy_hh,Legacy HH,8,0,13.190627098083496,1.0647712176121318,0.13309640220151647,strong
legacy_hh,Legacy HH,8,1,13.144999742507935,1.068467124489597,0.1335583905611996,strong
legacy_hh,Legacy HH,8,2,13.188362121582031,1.0649540820015908,0.13311926025019885,strong
legacy_hh,Legacy HH,8,3,13.541251420974731,1.0372010414442887,0.1296501301805361,strong
legacy_hh,Legacy HH,8,4,13.009399175643921,1.0796040529365005,0.13495050661706257,strong
legacy_hh,Legacy HH,9,0,13.237555821736654,1.0609964758925836,0.11788849732139818,strong
legacy_hh,Legacy HH,9,1,12.841992908053928,1.0936776072727423,0.12151973414141581,strong
legacy_hh,Legacy HH,9,2,13.31178347269694,1.0550802681775036,0.1172311409086115,strong
legacy_hh,Legacy HH,9,3,13.236920038859049,1.061047436644072,0.11789415962711912,strong
legacy_hh,Legacy HH,9,4,13.15066549513075,1.0680067926215853,0.11866742140239836,strong
legacy_hh,Legacy HH,10,0,13.324809074401855,1.0540488796402825,0.10540488796402825,strong
legacy_hh,Legacy HH,10,1,13.812828063964844,1.01680843425068,0.101680843425068,strong
legacy_hh,Legacy HH,10,2,13.5361909866333,1.0375887936394428,0.10375887936394428,strong
legacy_hh,Legacy HH,10,3,13.195276260375977,1.064396061071461,0.10643960610714609,strong
legacy_hh,Legacy HH,10,4,13.49480152130127,1.0407711483658502,0.10407711483658502,strong
legacy_hh,Legacy HH,11,0,13.446352698586203,1.0445211717353424,0.0949564701577584,strong
legacy_hh,Legacy HH,11,1,13.381156054410068,1.0496103639464762,0.0954191239951342,strong
legacy_hh,Legacy HH,11,2,13.406818563287908,1.04760126423681,0.09523647856698272,strong
legacy_hh,Legacy HH,11,3,13.080987063321201,1.0736957393433877,0.0976087035766716,strong
legacy_hh,Legacy HH,11,4,14.725815166126598,0.9537672392222664,0.08670611265656968,strong
legacy_hh,Legacy HH,12,0,13.041178385416666,1.0769732351794072,0.08974776959828394,strong
legacy_hh,Legacy HH,12,1,12.594024340311686,1.1152114444735424,0.09293428703946187,strong
legacy_hh,Legacy HH,12,2,12.913088003794352,1.0876561882151654,0.09063801568459712,strong
legacy_hh,Legacy HH,12,3,12.715319792429606,1.104573090222709,0.09204775751855909,strong
legacy_hh,Legacy HH,12,4,12.384394804636637,1.1340885281722115,0.09450737734768429,strong
legacy_markov,Legacy Markov,1,0,112.11991310119629,1.0309421283744271,1.0309421283744271,strong
legacy_markov,Legacy Markov,1,1,111.08613014221191,1.0405362190376646,1.0405362190376646,strong
legacy_markov,Legacy Markov,1,2,111.1001968383789,1.0404044739349512,1.0404044739349512,strong
legacy_markov,Legacy Markov,1,3,110.86177825927734,1.042641960652748,1.042641960652748,strong
legacy_markov,Legacy Markov,1,4,112.63394355773926,1.0262371909800792,1.0262371909800792,strong
legacy_markov,Legacy Markov,2,0,112.97047138214111,1.023180132219719,0.5115900661098595,strong
legacy_markov,Legacy Markov,2,1,113.12556266784668,1.0217773871772013,0.5108886935886007,strong
legacy_markov,Legacy Markov,2,2,112.4274730682373,1.0281218521699484,0.5140609260849742,strong
legacy_markov,Legacy Markov,2,3,115.73147773742676,0.99877011946528,0.49938505973264,strong
legacy_markov,Legacy Markov,2,4,120.54157257080078,0.9589151641257309,0.47945758206286543,strong
legacy_markov,Legacy Markov,3,0,114.32870229085286,1.0110246992189564,0.3370082330729855,strong
legacy_markov,Legacy Markov,3,1,112.75808016459148,1.0251073952037777,0.3417024650679259,strong
legacy_markov,Legacy Markov,3,2,114.44902420043945,1.0099617943728987,0.3366539314576329,strong
legacy_markov,Legacy Markov,3,3,112.99324035644531,1.02297395384953,0.34099131794984333,strong
legacy_markov,Legacy Markov,3,4,111.50439580281575,1.0366330494280318,0.34554434980934395,strong
legacy_markov,Legacy Markov,4,0,112.36554384231567,1.0286884919803456,0.2571721229950864,strong
legacy_markov,Legacy Markov,4,1,114.30102586746216,1.0112695049625766,0.25281737624064415,strong
legacy_markov,Legacy Markov,4,2,118.34293603897095,0.976730388095484,0.244182597023871,strong
legacy_markov,Legacy Markov,4,3,119.08972263336182,0.9706055173338859,0.24265137933347147,strong
legacy_markov,Legacy Markov,4,4,117.52146482467651,0.9835577017197998,0.24588942542994996,strong
legacy_markov,Legacy Markov,5,0,123.0978012084961,0.9390024899788809,0.1878004979957762,strong
legacy_markov,Legacy Markov,5,1,119.44165229797363,0.9677456701397635,0.1935491340279527,strong
legacy_markov,Legacy Markov,5,2,115.04120826721191,1.0047629330980121,0.2009525866196024,strong
legacy_markov,Legacy Markov,5,3,117.84720420837402,0.9808390671816172,0.19616781343632345,strong
legacy_markov,Legacy Markov,5,4,120.80860137939453,0.9567956298301981,0.1913591259660396,strong
legacy_markov,Legacy Markov,6,0,117.4699862798055,0.9839887234716932,0.16399812057861554,strong
legacy_markov,Legacy Markov,6,1,115.54666360219319,1.0003676284730831,0.1667279380788472,strong
legacy_markov,Legacy Markov,6,2,116.67537689208984,0.9906901089559681,0.16511501815932803,strong
legacy_markov,Legacy Markov,6,3,119.68199412027995,0.9658022720572025,0.16096704534286707,strong
legacy_markov,Legacy Markov,6,4,115.69583415985107,0.9990778206067426,0.16651297010112376,strong
legacy_markov,Legacy Markov,7,0,117.05000059945243,0.9875193614159098,0.1410741944879871,strong
legacy_markov,Legacy Markov,7,1,117.59628568376813,0.982931911272585,0.14041884446751213,strong
legacy_markov,Legacy Markov,7,2,115.05372183663505,1.004653652228898,0.143521950318414,strong
legacy_markov,Legacy Markov,7,3,119.35084206717355,0.9684819968060783,0.1383545709722969,strong
legacy_markov,Legacy Markov,7,4,116.31287847246442,0.993777674181345,0.14196823916876358,strong
legacy_markov,Legacy Markov,8,0,116.59812927246094,0.9913464526999395,0.12391830658749244,strong
legacy_markov,Legacy Markov,8,1,120.51862478256226,0.9590977498643648,0.1198872187330456,strong
legacy_markov,Legacy Markov,8,2,116.83738231658936,0.9893164289875656,0.1236645536234457,strong
legacy_markov,Legacy Markov,8,3,114.60062861442566,1.008625722591831,0.12607821532397886,strong
legacy_markov,Legacy Markov,8,4,112.86786198616028,1.024110316361592,0.128013789545199,strong
legacy_markov,Legacy Markov,9,0,111.59245173136394,1.0358150578496153,0.11509056198329058,strong
legacy_markov,Legacy Markov,9,1,117.51111348470052,0.983644341526492,0.10929381572516578,strong
legacy_markov,Legacy Markov,9,2,117.30686823527019,0.9853569836497382,0.10948410929441536,strong
legacy_markov,Legacy Markov,9,3,115.88833067152235,0.9974183006685353,0.11082425562983726,strong
legacy_markov,Legacy Markov,9,4,116.78044001261394,0.9897988210458692,0.10997764678287436,strong
legacy_markov,Legacy Markov,10,0,118.79189014434814,0.973038998750224,0.0973038998750224,strong
legacy_markov,Legacy Markov,10,1,118.52152347564697,0.9752586572974117,0.09752586572974117,strong
legacy_markov,Legacy Markov,10,2,116.83719158172607,0.9893180440309544,0.09893180440309543,strong
legacy_markov,Legacy Markov,10,3,115.83449840545654,0.9978818351775082,0.09978818351775082,strong
legacy_markov,Legacy Markov,10,4,115.05098342895508,1.004677564682273,0.1004677564682273,strong
legacy_markov,Legacy Markov,11,0,114.80253392999822,1.0068518340909143,0.09153198491735584,strong
legacy_markov,Legacy Markov,11,1,118.47316135059704,0.975656769246165,0.08869606993146954,strong
legacy_markov,Legacy Markov,11,2,112.13189905340022,1.0308319293750343,0.09371199357954857,strong
legacy_markov,Legacy Markov,11,3,114.0224283391779,1.0137403976511075,0.0921582179682825,strong
legacy_markov,Legacy Markov,11,4,119.57073211669922,0.9667009626811508,0.08788190569828644,strong
legacy_markov,Legacy Markov,12,0,113.58050505320232,1.01768469678454,0.08480705806537835,strong
legacy_markov,Legacy Markov,12,1,112.26765314737956,1.029585446967198,0.08579878724726649,strong
legacy_markov,Legacy Markov,12,2,112.06674575805664,1.0314312338046387,0.08595260281705323,strong
legacy_markov,Legacy Markov,12,3,111.45341396331787,1.0371072337339655,0.08642560281116379,strong
legacy_markov,Legacy Markov,12,4,111.48500442504883,1.0368133583688692,0.08640111319740577,strong
ctbn_stiff,CTBN Markov,1,0,37.99080848693848,0.9619693118704697,0.9619693118704697,strong
ctbn_stiff,CTBN Markov,1,1,36.21387481689453,1.009170989913886,1.009170989913886,strong
ctbn_stiff,CTBN Markov,1,2,36.06295585632324,1.0133942443094295,1.0133942443094295,strong
ctbn_stiff,CTBN Markov,1,3,35.59088706970215,1.0268356567233168,1.0268356567233168,strong
ctbn_stiff,CTBN Markov,1,4,35.76397895812988,1.0218659378020734,1.0218659378020734,strong
ctbn_stiff,CTBN Markov,2,0,35.83049774169922,1.0199688589603684,0.5099844294801842,strong
ctbn_stiff,CTBN Markov,2,1,35.663485527038574,1.0247453763282715,0.5123726881641357,strong
ctbn_stiff,CTBN Markov,2,2,36.47196292877197,1.002029750056382,0.501014875028191,strong
ctbn_stiff,CTBN Markov,2,3,36.10050678253174,1.0123401346616783,0.5061700673308391,strong
ctbn_stiff,CTBN Markov,2,4,35.75849533081055,1.022022642717126,0.511011321358563,strong
ctbn_stiff,CTBN Markov,3,0,35.808404286702476,1.0205981703338407,0.34019939011128025,strong
ctbn_stiff,CTBN Markov,3,1,35.51705678304037,1.0289701683567982,0.34299005611893274,strong
ctbn_stiff,CTBN Markov,3,2,35.859266916910805,1.0191505582716849,0.3397168527572283,strong
ctbn_stiff,CTBN Markov,3,3,36.17326418558756,1.0103039557083695,0.33676798523612317,strong
ctbn_stiff,CTBN Markov,3,4,35.886685053507485,1.0183719071040551,0.33945730236801835,strong
ctbn_stiff,CTBN Markov,4,0,35.76326370239258,1.0218863748483353,0.25547159371208383,strong
ctbn_stiff,CTBN Markov,4,1,35.96526384353638,1.0161469148835676,0.2540367287208919,strong
ctbn_stiff,CTBN Markov,4,2,35.85702180862427,1.0192143701346952,0.2548035925336738,strong
ctbn_stiff,CTBN Markov,4,3,36.278724670410156,1.0073670513393445,0.2518417628348361,strong
ctbn_stiff,CTBN Markov,4,4,36.58777475357056,0.9988580104619926,0.24971450261549816,strong
ctbn_stiff,CTBN Markov,5,0,37.08376884460449,0.9854983200527708,0.19709966401055418,strong
ctbn_stiff,CTBN Markov,5,1,35.88223457336426,1.018498215958698,0.20369964319173958,strong
ctbn_stiff,CTBN Markov,5,2,35.78639030456543,1.0212259908460417,0.20424519816920833,strong
ctbn_stiff,CTBN Markov,5,3,35.869789123535156,1.0188515960246942,0.20377031920493885,strong
ctbn_stiff,CTBN Markov,5,4,35.78019142150879,1.0214029172469399,0.204280583449388,strong
ctbn_stiff,CTBN Markov,6,0,36.9189977645874,0.98989664157779,0.16498277359629834,strong
ctbn_stiff,CTBN Markov,6,1,35.94334920247396,1.0167664591219443,0.16946107652032405,strong
ctbn_stiff,CTBN Markov,6,2,38.616339365641274,0.9463867497005595,0.15773112495009325,strong
ctbn_stiff,CTBN Markov,6,3,39.35333093007406,0.9286632423191994,0.1547772070531999,strong
ctbn_stiff,CTBN Markov,6,4,39.08336162567139,0.9350780070457977,0.15584633450763294,strong
ctbn_stiff,CTBN Markov,7,0,39.67768805367606,0.9210716069984601,0.13158165814263717,strong
ctbn_stiff,CTBN Markov,7,1,38.92288889203753,0.9389331814232124,0.1341333116318875,strong
ctbn_stiff,CTBN Markov,7,2,39.02956417628697,0.936366896963382,0.13376669956619744,strong
ctbn_stiff,CTBN Markov,7,3,36.30481447492327,1.006643125055117,0.1438061607221596,strong
ctbn_stiff,CTBN Markov,7,4,36.83645384652274,0.9921148232631207,0.14173068903758868,strong
ctbn_stiff,CTBN Markov,8,0,36.03488206863403,1.014183751953884,0.1267729689942355,strong
ctbn_stiff,CTBN Markov,8,1,36.13659739494324,1.0113290827624257,0.12641613534530322,strong
ctbn_stiff,CTBN Markov,8,2,37.25263476371765,0.9810310634236566,0.12262888292795708,strong
ctbn_stiff,CTBN Markov,8,3,37.10862994194031,0.9848380809197862,0.12310476011497327,strong
ctbn_stiff,CTBN Markov,8,4,37.177711725234985,0.9830081035562178,0.12287601294452723,strong
ctbn_stiff,CTBN Markov,9,0,36.54498524136014,1.0000275456732632,0.1111141717414737,strong
ctbn_stiff,CTBN Markov,9,1,54.69799041748047,0.6681414000523058,0.07423793333914509,strong
ctbn_stiff,CTBN Markov,9,2,36.42434544033475,1.003339701943238,0.11148218910480422,strong
ctbn_stiff,CTBN Markov,9,3,36.87466515435113,0.9910867459977644,0.11012074955530715,strong
ctbn_stiff,CTBN Markov,9,4,35.98210546705458,1.0156713016986936,0.11285236685541039,strong
ctbn_stiff,CTBN Markov,10,0,35.92331409454346,1.0173335288999446,0.10173335288999445,strong
ctbn_stiff,CTBN Markov,10,1,36.39330863952637,1.0041953662297913,0.10041953662297913,strong
ctbn_stiff,CTBN Markov,10,2,36.415696144104004,1.0035780107831358,0.10035780107831357,strong
ctbn_stiff,CTBN Markov,10,3,36.06369495391846,1.0133734755764994,0.10133734755764993,strong
ctbn_stiff,CTBN Markov,10,4,36.629295349121094,0.9977257697494832,0.09977257697494832,strong
ctbn_stiff,CTBN Markov,11,0,35.7513427734375,1.0222271126760563,0.09292973751600511,strong
ctbn_stiff,CTBN Markov,11,1,35.991083491932265,1.0154179411068613,0.09231072191880557,strong
ctbn_stiff,CTBN Markov,11,2,35.83546118302779,1.019827586728303,0.0927115987934821,strong
ctbn_stiff,CTBN Markov,11,3,36.270445043390446,1.0075970078079528,0.09159972798254117,strong
ctbn_stiff,CTBN Markov,11,4,36.269621415571734,1.0076198888001797,0.09160180807274361,strong
ctbn_stiff,CTBN Markov,12,0,36.67767842610677,0.9964096274853091,0.08303413562377576,strong
ctbn_stiff,CTBN Markov,12,1,36.25150521596273,1.008123433216522,0.08401028610137684,strong
ctbn_stiff,CTBN Markov,12,2,35.70691744486491,1.0234989327772053,0.08529157773143377,strong
ctbn_stiff,CTBN Markov,12,3,35.71732838948568,1.0232006016536574,0.08526671680447145,strong
ctbn_stiff,CTBN Markov,12,4,36.5147590637207,1.000855348211604,0.08340461235096701,strong
